;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM
09/01/2020;0;5,3;4,65;4,275;4,2;4,275;4,45;4,565;4,7;5,1;5,8;6,3;6,685;6,7;6,49;5,71;5,58;5,51;5,605;5,705;5,81;6,175;6,695;7,29;7,4;7,32;7,165;6,47;6,035;5,905;5,83;5,93;6,085;6,7;7,215;7,755;7,68;7,525;7,27;6,545;6,11;5,9;5,875;5,9;6,03;6,52;7,06;7,68;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
10/01/2020;0;5,3;4,445;4,255;4,19;4,27;4,425;4,52;4,655;5,04;5,75;6,25;6,645;6,65;6,43;5,71;5,605;5,56;5,54;5,655;5,765;6,145;6,67;7,275;7,345;7,27;7,115;6,45;6,035;5,925;5,86;5,97;6,125;6,725;7,225;7,75;7,65;7,5;7,25;6,55;6,125;5,925;5,9;5,925;6,05;6,525;7,05;7,65;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
11/01/2020;0;5,3;4,445;4,255;4,19;4,27;4,425;4,52;4,655;5,04;5,75;6,25;6,645;6,65;6,43;5,71;5,605;5,56;5,54;5,655;5,765;6,145;6,67;7,275;7,345;7,27;7,115;6,45;6,035;5,925;5,86;5,97;6,125;6,725;7,225;7,75;7,65;7,5;7,25;6,55;6,125;5,925;5,9;5,925;6,05;6,525;7,05;7,65;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
12/01/2020;0;5,3;4,445;4,255;4,19;4,27;4,425;4,52;4,655;5,04;5,75;6,25;6,645;6,65;6,43;5,71;5,605;5,56;5,54;5,655;5,765;6,145;6,67;7,275;7,345;7,27;7,115;6,45;6,035;5,925;5,86;5,97;6,125;6,725;7,225;7,75;7,65;7,5;7,25;6,55;6,125;5,925;5,9;5,925;6,05;6,525;7,05;7,65;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
13/01/2020;0;5,3;4,64;4,265;4,21;4,29;4,425;4,51;4,645;5,04;5,785;6,3;6,655;6,66;6,445;5,735;5,63;5,585;5,545;5,66;5,77;6,15;6,68;7,28;7,32;7,245;7,09;6,43;6,015;5,9;5,835;5,945;6,105;6,7;7,2;7,72;7,65;7,5;7,25;6,55;6,125;5,925;5,9;5,925;6,05;6,525;7,05;7,65;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
14/01/2020;0;5,3;4,32;4,005;3,965;4,05;4,235;4,335;4,48;4,875;5,625;6,175;6,525;6,525;6,305;5,625;5,5;5,45;5,405;5,5;5,6;5,99;6,5;7,085;7,215;7,14;6,995;6,33;5,935;5,81;5,735;5,86;6,01;6,6;7,09;7,585;7,535;7,39;7,14;6,45;6,035;5,835;5,81;5,835;5,96;6,425;6,945;7,535;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
15/01/2020;0;5,295;4,25;3,915;3,9;3,995;4,12;4,275;4,425;4,7;5,425;6;6,45;6,45;6,225;5,575;5,45;5,4;5,3;5,395;5,495;5,89;6,38;6,945;7,14;7,07;6,92;6,25;5,855;5,76;5,66;5,785;5,93;6,525;7,02;7,49;7,495;7,37;7,125;6,425;6,025;5,805;5,78;5,805;5,95;6,4;6,925;7,495;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
16/01/2020;0;5,296;4,18;3,8;3,825;3,925;4,065;4,165;4,34;4,64;5,365;5,95;6,35;6,35;6,125;5,475;5,35;5,3;5,34;5,44;5,54;5,96;6,41;7,01;7,19;7,115;6,965;6,285;5,885;5,785;5,685;5,81;5,96;6,565;7,065;7,545;7,445;7,32;7,07;6,375;5,98;5,755;5,73;5,755;5,905;6,35;6,87;7,445;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
17/01/2020;0;5,296;4,13;3,8;3,825;3,925;4,015;4,115;4,29;4,59;5,34;5,875;6,3;6,3;6,075;5,45;5,325;5,275;5,26;5,355;5,455;5,925;6,37;6,96;7,16;7,085;6,935;6,265;5,865;5,765;5,665;5,79;5,94;6,535;7,035;7,505;7,415;7,29;7,045;6,35;5,955;5,735;5,71;5,735;5,88;6,325;6,845;7,415;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
18/01/2020;0;5,296;4,13;3,8;3,825;3,925;4,015;4,115;4,29;4,59;5,34;5,875;6,3;6,3;6,075;5,45;5,325;5,275;5,26;5,355;5,455;5,925;6,37;6,96;7,16;7,085;6,935;6,265;5,865;5,765;5,665;5,79;5,94;6,535;7,035;7,505;7,415;7,29;7,045;6,35;5,955;5,735;5,71;5,735;5,88;6,325;6,845;7,415;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
19/01/2020;0;5,296;4,13;3,8;3,825;3,925;4,015;4,115;4,29;4,59;5,34;5,875;6,3;6,3;6,075;5,45;5,325;5,275;5,26;5,355;5,455;5,925;6,37;6,96;7,16;7,085;6,935;6,265;5,865;5,765;5,665;5,79;5,94;6,535;7,035;7,505;7,415;7,29;7,045;6,35;5,955;5,735;5,71;5,735;5,88;6,325;6,845;7,415;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
20/01/2020;0;5,296;4,13;3,8;3,825;3,925;4,015;4,115;4,29;4,59;5,34;5,875;6,3;6,3;6,075;5,45;5,325;5,275;5,26;5,355;5,455;5,925;6,37;6,96;7,16;7,085;6,935;6,265;5,865;5,765;5,665;5,79;5,94;6,535;7,035;7,505;7,415;7,29;7,045;6,35;5,955;5,735;5,71;5,735;5,88;6,325;6,845;7,415;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
21/01/2020;0;5,296;4,075;3,775;3,79;3,895;4,025;4,14;4,275;4,475;5,2;5,725;6,035;6,035;5,82;5,375;5,25;5,2;5,235;5,335;5,435;5,88;6,33;6,925;7,065;6,995;6,845;6,175;5,78;5,685;5,585;5,71;5,855;6,5;6,945;7,365;7,315;7,19;6,945;6,25;5,855;5,635;5,61;5,635;5,78;6,225;6,745;7,315;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
22/01/2020;0;5,296;4,02;3,695;3,775;3,925;3,975;4,075;4,225;4,375;5,04;5,625;5,91;5,91;5,69;5,245;5,125;5,075;5,13;5,23;5,33;5,745;6,185;6,77;6,95;6,875;6,73;6,065;5,675;5,575;5,475;5,6;5,745;6,385;6,825;7,245;7,265;7,14;6,895;6,2;5,805;5,585;5,56;5,585;5,73;6,175;6,695;7,265;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
23/01/2020;0;5,296;4;3,6;3,625;3,79;3,89;4;4,1;4,215;4,87;5,4;5,695;5,695;5,48;5,15;5,025;4,975;5,01;5,11;5,205;5,625;6,065;6,655;6,84;6,77;6,62;5,95;5,555;5,46;5,36;5,485;5,63;6,275;6,72;7,14;7,2;7,075;6,825;6,125;5,725;5,5;5,475;5,5;5,65;6,1;6,625;7,2;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
24/01/2020;0;5,296;4;3,6;3,625;3,755;3,875;4,015;4,115;4,275;4,925;5,45;5,74;5,74;5,51;5,15;5,025;4,975;4,98;5,08;5,18;5,655;6,105;6,705;6,88;6,805;6,65;5,975;5,575;5,47;5,37;5,495;5,65;6,3;6,75;7,18;7,2;7,075;6,825;6,125;5,725;5,5;5,475;5,5;5,65;6,1;6,625;7,2;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
25/01/2020;0;5,296;4;3,6;3,625;3,755;3,875;4,015;4,115;4,275;4,925;5,45;5,74;5,74;5,51;5,15;5,025;4,975;4,98;5,08;5,18;5,655;6,105;6,705;6,88;6,805;6,65;5,975;5,575;5,47;5,37;5,495;5,65;6,3;6,75;7,18;7,2;7,075;6,825;6,125;5,725;5,5;5,475;5,5;5,65;6,1;6,625;7,2;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
26/01/2020;0;5,296;4;3,6;3,625;3,755;3,875;4,015;4,115;4,275;4,925;5,45;5,74;5,74;5,51;5,15;5,025;4,975;4,98;5,08;5,18;5,655;6,105;6,705;6,88;6,805;6,65;5,975;5,575;5,47;5,37;5,495;5,65;6,3;6,75;7,18;7,2;7,075;6,825;6,125;5,725;5,5;5,475;5,5;5,65;6,1;6,625;7,2;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
27/01/2020;0;5,296;4;3,55;3,575;3,75;3,85;3,99;4,05;4,215;4,86;5,375;5,69;5,69;5,47;5,075;4,95;4,9;4,925;5,02;5,12;5,54;5,985;6,58;6,745;6,67;6,52;5,9;5,505;5,405;5,33;5,455;5,605;6,25;6,695;7,115;7,14;7,02;6,77;6,075;5,68;5,455;5,43;5,455;5,605;6,05;6,57;7,14;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
28/01/2020;0;5,296;4;3,665;3,715;3,865;3,965;4,075;4,19;4,34;4,975;5,55;5,825;5,825;5,595;5,15;5,025;4,975;4,99;5,09;5,195;5,6;6,06;6,67;6,85;6,775;6,62;5,985;5,575;5,47;5,395;5,525;5,675;6,34;6,8;7,235;7,185;7,055;6,805;6,1;5,695;5,47;5,445;5,47;5,62;6,075;6,605;7,185;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
29/01/2020;0;5,296;3,9;3,45;3,485;3,705;3,8;3,89;3,965;4,14;4,79;5,35;5,635;5,635;5,42;5;4,875;4,825;4,8;4,895;4,995;5,38;5,84;6,45;6,645;6,57;6,425;5,82;5,43;5,305;5,235;5,355;5,5;6,185;6,62;7,06;7,055;6,935;6,69;6,005;5,61;5,39;5,365;5,39;5,535;5,98;6,495;7,055;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
30/01/2020;0;5,296;3,875;3,35;3,4;3,625;3,715;3,8;3,9;4,09;4,715;5,275;5,55;5,51;5,29;4,845;4,725;4,675;4,745;4,845;4,94;5,36;5,805;6,4;6,57;6,495;6,345;5,775;5,38;5,255;5,18;5,305;5,455;6,1;6,545;6,99;6,905;6,785;6,565;5,88;5,51;5,29;5,265;5,265;5,41;5,855;6,365;6,905;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
31/01/2020;0;5,296;4,02;3,24;3,275;3,5;3,625;3,715;3,815;4;4,625;5,175;5,45;5,38;5,185;4,75;4,625;4,575;4,65;4,75;4,85;5,22;5,665;6,26;6,305;6,235;6,085;5,65;5,26;5,14;5,09;5,21;5,355;6,015;6,405;6,795;6,835;6,71;6,515;5,825;5,46;5,235;5,235;5,235;5,385;5,8;6,32;6,835;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
01/02/2020;0;5,296;4,02;3,24;3,275;3,5;3,625;3,715;3,815;4;4,625;5,175;5,45;5,38;5,185;4,75;4,625;4,575;4,65;4,75;4,85;5,22;5,665;6,26;6,305;6,235;6,085;5,65;5,26;5,14;5,09;5,21;5,355;6,015;6,405;6,795;6,835;6,71;6,515;5,825;5,46;5,235;5,235;5,235;5,385;5,8;6,32;6,835;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
02/02/2020;0;0;4,02;3,24;3,275;3,5;3,625;3,715;3,815;4;4,625;5,175;5,45;5,38;5,185;4,75;4,625;4,575;4,65;4,75;4,85;5,22;5,665;6,26;6,305;6,235;6,085;5,65;5,26;5,14;5,09;5,21;5,355;6,015;6,405;6,795;6,835;6,71;6,515;5,825;5,46;5,235;5,235;5,235;5,385;5,8;6,32;6,835;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
03/02/2020;0;0;3,73;2,99;3,065;3,3;3,45;3,535;3,62;3,82;4,425;4,975;5,3;5,15;4,96;4,57;4,45;4,4;4,51;4,605;4,705;5,095;5,53;6,115;6,14;6,09;5,945;5,505;5,135;5,015;4,965;5,065;5,21;5,87;6,235;6,63;6,65;6,53;6,335;5,655;5,29;5,07;5,07;5,07;5,24;5,63;6,14;6,63;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
04/02/2020;0;0;3,7;3;3,1;3,315;3,49;3,55;3,625;3,85;4,45;5;5,4;5,215;4,985;4,625;4,5;4,45;4,55;4,65;4,75;5,235;5,665;6,275;6,24;6,19;6,04;5,535;5,16;5,035;4,985;5,085;5,235;5,865;6,24;6,645;6,735;6,61;6,405;5,725;5,37;5,14;5,14;5,14;5,295;5,7;6,23;6,71;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
05/02/2020;0;0;3,6;3;3,1;3,34;3,45;3,515;3,615;3,875;4,465;5;5,325;5,24;5,035;4,725;4,6;4,55;4,715;4,82;4,92;5,255;5,695;6,315;6,245;6,22;6,095;5,685;5,305;5,175;5,125;5,225;5,38;6,04;6,425;6,83;6,875;6,745;6,54;5,845;5,49;5,255;5,255;5,255;5,41;5,82;6,36;6,845;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
06/02/2020;0;0;3,555;2,99;3,09;3,315;3,4;3,44;3,54;3,79;4,44;5;5,3;5,225;4,925;4,7;4,575;4,525;4,665;4,765;4,865;5,335;5,76;6,255;6,305;6,205;6,1;5,7;5,32;5,17;5,12;5,22;5,395;6,05;6,455;6,86;6,88;6,755;6,55;5,85;5,5;5,245;5,245;5,245;5,4;5,825;6,35;6,855;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
07/02/2020;0;0;3,57;2,95;3,025;3,29;3,35;3,465;3,565;3,84;4,5;5,025;5,275;5,27;4,94;4,725;4,6;4,55;4,64;4,74;4,84;5,32;5,75;6,25;6,28;6,18;6,075;5,775;5,395;5,245;5,17;5,27;5,445;6,15;6,555;6,96;6,87;6,745;6,55;5,85;5,5;5,255;5,255;5,255;5,4;5,825;6,35;6,845;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
08/02/2020;0;0;3,57;2,95;3,025;3,29;3,35;3,465;3,565;3,84;4,5;5,025;5,275;5,27;4,94;4,725;4,6;4,55;4,64;4,74;4,84;5,32;5,75;6,25;6,28;6,18;6,075;5,775;5,395;5,245;5,17;5,27;5,445;6,15;6,555;6,96;6,87;6,745;6,55;5,85;5,5;5,255;5,255;5,255;5,4;5,825;6,35;6,845;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
09/02/2020;0;0;3,57;2,95;3,025;3,29;3,35;3,465;3,565;3,84;4,5;5,025;5,275;5,27;4,94;4,725;4,6;4,55;4,64;4,74;4,84;5,32;5,75;6,25;6,28;6,18;6,075;5,775;5,395;5,245;5,17;5,27;5,445;6,15;6,555;6,96;6,87;6,745;6,55;5,85;5,5;5,255;5,255;5,255;5,4;5,825;6,35;6,845;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
10/02/2020;0;0;3,52;2,825;2,93;3,18;3,24;3,325;3,415;3,765;4,415;4,95;5,2;5,18;4,885;4,65;4,525;4,475;4,6;4,7;4,8;5,22;5,64;6,135;6,14;6,04;5,94;5,72;5,35;5,2;5,13;5,225;5,4;6,09;6,485;6,88;6,755;6,635;6,44;5,755;5,41;5,165;5,165;5,165;5,31;5,73;6,24;6,73;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
11/02/2020;0;0;3,525;2,89;3,015;3,265;3,35;3,45;3,54;3,89;4,54;5,05;5,325;5,27;4,965;4,78;4,65;4,6;4,66;4,76;4,86;5,32;5,75;6,26;6,245;6,14;6,04;5,81;5,43;5,28;5,2;5,305;5,48;6,215;6,575;6,93;6,86;6,735;6,53;5,85;5,495;5,265;5,265;5,265;5,42;5,825;6,355;6,835;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
12/02/2020;0;0;3,525;2,975;3,125;3,35;3,425;3,525;3,675;4,025;4,65;5,2;5,55;5,43;5,145;4,86;4,735;4,655;4,715;4,815;4,915;5,4;5,835;6,345;6,33;6,2;6,1;5,895;5,515;5,365;5,285;5,39;5,565;6,33;6,685;7,04;6,965;6,84;6,635;5,95;5,59;5,365;5,365;5,365;5,515;5,92;6,455;6,94;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
13/02/2020;0;0;3,525;2,91;3,07;3,3;3,335;3,475;3,57;4,04;4,69;5,25;5,6;5,4;5,125;4,91;4,785;4,71;4,815;4,915;4,99;5,445;5,905;6,41;6,245;6,12;6,025;5,825;5,46;5,31;5,21;5,335;5,48;6,245;6,59;6,955;6,85;6,725;6,505;5,845;5,505;5,285;5,285;5,285;5,43;5,82;6,335;6,825;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
14/02/2020;0;0;3,52;2,95;3,1;3,3;3,35;3,5;3,53;4,065;4,725;5,25;5,6;5,44;5,16;4,96;4,835;4,755;4,785;4,91;4,985;5,505;5,955;6,45;6,46;6,33;6,23;5,925;5,54;5,39;5,31;5,44;5,565;6,36;6,69;7,075;6,935;6,81;6,585;5,93;5,575;5,35;5,35;5,35;5,5;5,905;6,405;6,91;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
15/02/2020;0;0;3,52;2,95;3,1;3,3;3,35;3,5;3,53;4,065;4,725;5,25;5,6;5,44;5,16;4,96;4,835;4,755;4,785;4,91;4,985;5,505;5,955;6,45;6,46;6,33;6,23;5,925;5,54;5,39;5,31;5,44;5,565;6,36;6,69;7,075;6,935;6,81;6,585;5,93;5,575;5,35;5,35;5,35;5,5;5,905;6,405;6,91;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
16/02/2020;0;0;3,52;2,95;3,1;3,3;3,35;3,5;3,53;4,065;4,725;5,25;5,6;5,44;5,16;4,96;4,835;4,755;4,785;4,91;4,985;5,505;5,955;6,45;6,46;6,33;6,23;5,925;5,54;5,39;5,31;5,44;5,565;6,36;6,69;7,075;6,935;6,81;6,585;5,93;5,575;5,35;5,35;5,35;5,5;5,905;6,405;6,91;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
17/02/2020;0;0;3,52;2,95;3,1;3,3;3,35;3,5;3,53;4,065;4,725;5,25;5,6;5,44;5,16;4,96;4,835;4,755;4,785;4,91;4,985;5,505;5,955;6,45;6,46;6,33;6,23;5,925;5,54;5,39;5,31;5,44;5,565;6,36;6,69;7,075;6,935;6,81;6,585;5,93;5,575;5,35;5,35;5,35;5,5;5,905;6,405;6,91;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
18/02/2020;0;0;3,522;2,975;3,275;3,44;3,565;3,66;3,735;4,19;4,875;5,475;5,925;5,495;5,19;5,035;4,91;4,835;4,9;5,025;5,1;5,61;6,045;6,555;6,575;6,445;6,345;6,035;5,655;5,5;5,395;5,55;5,655;6,52;6,83;7,16;7,005;6,88;6,655;6;5,645;5,42;5,42;5,42;5,57;5,975;6,505;7,005;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
19/02/2020;0;0;3,522;2,995;3,3;3,45;3,575;3,64;3,725;4,19;4,84;5,425;5,875;5,405;5,105;5,005;4,885;4,81;4,91;5,035;5,11;5,455;5,905;6,4;6,29;6,17;6,07;5,875;5,515;5,37;5,275;5,42;5,515;6,335;6,625;6,94;6,955;6,83;6,61;5,98;5,635;5,415;5,415;5,415;5,565;5,955;6,465;6,955;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
20/02/2020;0;0;3,522;2,975;3,275;3,425;3,525;3,59;3,69;4,15;4,8;5,375;5,825;5,395;5,095;5;4,9;4,8;4,94;5,04;5,145;5,545;5,975;6,48;6,3;6,175;6,075;5,875;5,5;5,375;5,275;5,4;5,525;6,325;6,625;6,95;6,95;6,825;6,625;5,975;5,625;5,4;5,425;5,425;5,575;5,95;6,475;6,95;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
21/02/2020;0;0;3,522;2,995;3,28;3,465;3,55;3,55;3,74;4,15;4,765;5,34;5,75;5,385;5,065;4,95;4,85;4,75;4,87;4,97;5,07;5,315;5,73;6,295;6,28;6,23;6,11;5,79;5,395;5,27;5,2;5,32;5,445;6,23;6,505;6,875;6,89;6,765;6,57;5,925;5,58;5,36;5,385;5,385;5,53;5,9;6,42;6,89;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
